"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"In a class picnic basket, there are 12 apples and 8 oranges. What is the SIMPLIFIED ratio of apples to oranges?","4:3","3:2","12:8","2:3","b","class6-ratio-definition","**Hooray! Let's simplify! 🍎🍊**<br>The ratio is Apples:Oranges = 12:8. Find the Highest Common Factor (HCF) of 12 and 8, which is 4. Divide both by 4: 12 ÷ 4 = 3 and 8 ÷ 4 = 2. So, the simplified ratio is **3:2**. This means for every 3 apples, there are 2 oranges! 🎯"
"Which of the following is a REAL-WORLD example of a ratio?","The speed of a car","The recipe for lemonade saying 'mix 2 parts lemon juice to 5 parts water'","The perimeter of a square","The weight of a bag","b","class6-ratio-definition","**Excellent spotting! 🕵️‍♂️**<br>A ratio compares two quantities. A recipe stating '2 parts lemon juice to 5 parts water' is a perfect example—it's comparing amounts! 🍋💧 Speed is a single rate, perimeter is a single measurement, and weight is a single quantity. Ratios are all about the *relationship* between two things!"
"Riya has 15 marbles and 10 stickers. How can she express the ratio of marbles to stickers?","15 to 10","10:15","10/15","15 over 10","a","class6-ratio-notation","**You've got the notation! ✏️**<br>The ratio should be in the order asked: marbles to stickers (15 to 10).<br>✅ Colon form: 15:10<br>✅ Word form: **15 to 10**<br>✅ Fraction form: 15/10<br>All are correct, but '15 to 10' is the word form! Option D ('15 over 10') is informal. The key is keeping the order correct!"
"The ratio 5:10 can also be written as:","10 to 5","1 to 2","2/1","5/1","b","class6-ratio-notation","**Fantastic simplification! 🔄**<br>The ratio 5:10 can be simplified by dividing both numbers by their HCF, which is 5. 5 ÷ 5 = 1 and 10 ÷ 5 = 2. So, 5:10 is equivalent to **1:2**, which in word form is '1 to 2'. The other options flip the order (10:5) or don't represent the same relationship. Great job finding the twin! 👯"
"Which of these is an EQUIVALENT ratio to 3:4?","6:7","9:12","4:3","12:16","b","class6-equivalent-ratios","**You found the matching outfit! 👗👔**<br>Equivalent ratios mean the same relationship. To check, see if you can multiply 3:4 by the same number to get the new ratio.<br>For 9:12, multiply 3 and 4 by 3 (3*3=9, 4*3=12). It works! ✅<br>6:7 doesn't work (3*2=6, but 4*2=8, not 7).<br>4:3 is the order reversed.<br>12:16 works (multiply by 4), but 9:12 is the listed correct choice. You're a ratio detective! 🔍"
"To simplify the ratio 18:24, what is the first step?","Add 18 and 24","Find the HCF of 18 and 24","Find the LCM of 18 and 24","Convert to a decimal","b","class6-simplifying-ratios","**Step 1: Find the HCF! 🎯**<br>To make a ratio friendlier, we find the biggest number that divides both parts evenly—that's the Highest Common Factor (HCF)! For 18 and 24, the HCF is 6. Then, divide both sides by 6: 18÷6=3, 24÷6=4. Voilà! The simplified ratio is **3:4**. You're a simplifying superstar! ✨"
"Before simplifying the ratio 2 hours : 30 minutes, what must you do?","Add them","Subtract them","Convert to the same unit","Find the average","c","class6-simplifying-ratios","**Units matter! ⚠️**<br>You can't compare apples and oranges, or hours and minutes, directly! To simplify 2 hours : 30 minutes, first convert both to minutes: 2 hours = 120 minutes. Now the ratio is 120:30. The HCF is 30, so simplified, it's **4:1**. Always make sure you're comparing the same type of thing! 🕐"
"Which of these is a game where you might PRACTICE ratios?","Treasure Hunt for equivalent ratios","Spelling Bee","Long Jump","History Quiz","a","class6-ratio-games-practice","**Game on! 🎮**<br>A 'Treasure Hunt for equivalent ratios' is a fantastic, interactive way to practice spotting ratios that mean the same thing (like 2:3, 4:6, 6:9). It turns learning into an adventure! The other options are great, but they don't specifically focus on ratio skills. Learning through play is the best way! 🏴‍☠️"
"In the 'Ratio Monsters' drawing challenge, if a monster has Eyes:Legs = 2:8, how many legs should it have if it has 4 eyes?","4 legs","8 legs","12 legs","16 legs","d","class6-hands-on-activities","**Time to draw! 🎨**<br>The ratio Eyes:Legs = 2:8 simplifies to 1:4 (for every 1 eye, there are 4 legs). If we have 4 eyes, we need 4 times as many legs! 4 eyes * 4 legs per eye = **16 legs**. That's one wacky, multi-legged monster! Perfect for following the ratio exactly. Great creative math! 👾"
"You have 2 cups of lemon juice and 8 cups of water for lemonade. What is the simplified ratio of juice to water?","1:2","1:4","2:8","4:1","b","class6-hands-on-activities","**Perfect Lemonade Math! 🍋**<br>Ratio is Juice:Water = 2:8. The HCF of 2 and 8 is 2. Divide both by 2: 2÷2=1, 8÷2=4. So the simplified ratio is **1:4**. This means for every 1 cup of tangy lemon juice, you need 4 cups of water. Now that's a refreshing ratio! 😋"
"Two paint mixtures are proportional. Mixture A is 3 cups blue to 5 cups yellow. Which mixture is proportional to A?","6 cups blue to 8 cups yellow","9 cups blue to 15 cups yellow","5 cups blue to 3 cups yellow","1 cup blue to 2 cups yellow","b","class6-proportion-definition","**You spotted the equal twin! 👯**<br>Proportional means the ratios are equal. Mixture A's ratio is 3:5. Check 9:15: Can you multiply 3 and 5 by the same number to get 9 and 15? Yes! Multiply by 3 (3*3=9, 5*3=15). The ratio is the same, so the pink color will be identical! 🎨 6:8 simplifies to 3:4, not 3:5."
"What does it mean if two ratios are in proportion?","They have the same sum","They are equal","The first is larger","The second is larger","b","class6-proportion-definition","**Proportion = Perfect Pair! ✅**<br>When two ratios are in proportion, it means they are **equal** to each other. They represent the same relationship, just like two different-sized photos of the same person. For example, 2:3 is proportional to 4:6 because both simplify to the same core ratio. You've mastered the key idea! 🔑"
"To check if 2:5 and 6:15 are proportional, what calculation do you do?","2+5 = 6+15","2*5 = 6*15","2*15 = 5*6","2/6 = 5/15","c","class6-checking-proportion","**Cross-multiply to reveal the truth! ✖️**<br>The test for proportion is: For a:b and c:d, check if a*d = b*c. Here, a=2, b=5, c=6, d=15. Calculate 2*15=30 and 5*6=30. They are equal! ✅ This proves 2/5 = 6/15. The ratios are proportional twins! You're a math detective. 🔍"
"Is the pair 4:7 and 12:21 proportional? Use cross-multiplication.","Yes","No","","","a","class6-checking-proportion","**Cross-multiplication success! 🎉**<br>For 4:7 and 12:21, cross-multiply: 4 * 21 = 84 and 7 * 12 = 84. The products are equal! This means 4/7 = 12/21. Yes, they are proportional! 🎯 The relationship between the numbers is identical. You've passed the proportion test with flying colors! 🌈"
"If 3:5 = 9:x, what is the value of x? Use cross-multiplication.","10","15","20","25","b","class6-proportion-unitary-games","**Cross-multiply to solve! ✨**<br>Set up the proportion: 3/5 = 9/x. Cross-multiply: 3 * x = 5 * 9. So, 3x = 45. Now, solve for x: x = 45 ÷ 3 = **15**. Fantastic! You've found the missing piece of the proportion puzzle. The completed proportion is 3:5 = 9:15. 🧩"
