"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"In geometry, what is the correct description of a 'point'?","A line with two endpoints","A measurable segment","A location with no size","An infinite path in both directions","c","class6-geometry-fundamentals","A point represents an exact location in space. It has no dimensions—no length, width, or thickness. It is the most fundamental object in geometry, often represented by a dot."
"Which geometric figure has one endpoint and extends infinitely in one direction?","Line","Line Segment","Ray","Angle","c","class6-geometry-fundamentals","A ray starts at a single point (the endpoint) and extends infinitely in one direction. It is different from a line (infinite in both directions) and a line segment (two endpoints)."
"An angle that measures exactly 90 degrees is called a:","Acute angle","Right angle","Obtuse angle","Straight angle","b","class6-angle-basics","An angle measuring exactly 90° is called a right angle. It forms a perfect 'L' shape and is a fundamental concept in geometry, often marked with a small square."
"An angle measuring 130° is classified as:","Acute","Right","Obtuse","Straight","c","class6-types-of-angles","Angles are classified by their measure: Acute (<90°), Right (=90°), Obtuse (>90° but <180°), Straight (=180°). Since 130° is greater than 90° and less than 180°, it is an obtuse angle."
"A triangle with all three sides of equal length is called:","Isosceles","Scalene","Equilateral","Right","c","class6-triangle-classification-sides","An equilateral triangle has all three sides of equal length. Consequently, all three interior angles are also equal, each measuring 60°."
"A triangle with one angle measuring 100° must be classified by angles as:","Acute triangle","Right triangle","Obtuse triangle","Equilateral triangle","c","class6-triangle-classification-angles","If a triangle has one angle greater than 90°, it is an obtuse triangle. Since 100° > 90°, the triangle is obtuse. The other two angles must be acute and sum with 100° to 180°."
"Which quadrilateral has all sides equal and all angles equal to 90°?","Rectangle","Rhombus","Square","Parallelogram","c","class6-quadrilateral-family","A square has the defining properties of a rectangle (all angles 90°) and a rhombus (all sides equal). Therefore, it has both: all four sides are equal in length and all four angles are right angles."
"A quadrilateral with exactly one pair of parallel sides is a:","Parallelogram","Rectangle","Trapezium","Kite","c","class6-special-quadrilaterals","A trapezium (or trapezoid in some countries) is defined as a quadrilateral with exactly one pair of parallel sides. These parallel sides are called the bases of the trapezium."
"What is the name for a line segment that connects two points on a circle and passes through the center?","Radius","Chord","Diameter","Arc","c","class6-circle-vocabulary","A diameter is a chord (a line segment connecting two points on the circle) that passes through the center of the circle. Its length is twice the length of the radius."
"A shape has line symmetry if:","It can be divided into two unequal parts","It can be rotated to look the same","It can be folded along a line so both halves match exactly","All its sides are equal","c","class6-symmetry-basics","Line symmetry (or reflection symmetry) exists when one half of a shape is the mirror image of the other half across a line (the line of symmetry). Folding along this line makes the two halves coincide."
"Lines that are always the same distance apart and never meet are called:","Intersecting lines","Parallel lines","Perpendicular lines","Transversal lines","b","class7-parallel-perpendicular","Parallel lines are coplanar lines that do not intersect, no matter how far they are extended. They maintain a constant distance from each other and have the same direction or slope."
"When a transversal intersects two parallel lines, which angle pair is always equal?","Co-interior angles","Alternate interior angles","Vertically opposite angles","Linear pair","b","class7-angle-pairs","When a transversal cuts two parallel lines, alternate interior angles are located inside the parallel lines and on opposite sides of the transversal, and they are always equal. This is a key property."
"Which congruence criterion states that if two angles and the included side of one triangle are equal to two angles and the included side of another triangle, the triangles are congruent?","SSS","SAS","ASA","RHS","c","class7-triangle-congruence","The ASA (Angle-Side-Angle) congruence criterion states that if two angles and the side between them in one triangle are equal to the corresponding two angles and the side in another triangle, then the triangles are congruent."
"What is the sum of the three interior angles of any triangle?","90°","180°","270°","360°","b","class7-triangle-properties","The angle sum property of a triangle states that the sum of its three interior angles is always 180°. This is a fundamental theorem that can be verified by cutting and arranging the angles."
"To construct a perpendicular bisector of a line segment, the compass radius used for drawing arcs from the endpoints must be:","Less than half the segment length","Exactly half the segment length","Greater than half the segment length","Any random length","c","class7-basic-constructions","To construct a perpendicular bisector, arcs are drawn from both endpoints. The compass radius must be more than half the length of the segment so that the arcs drawn from each endpoint will intersect above and below the line."
"To construct a line parallel to a given line through a point not on the line, a common method involves:","Bisecting an angle","Copying a corresponding angle","Drawing a perpendicular line","Measuring the distance","b","class7-advanced-constructions","One standard method involves drawing any transversal through the given point to intersect the line, then constructing an angle at the given point that is equal to the corresponding angle formed. This creates parallel lines."
"In the quadrilateral hierarchy, which shape is a special type of both a rectangle and a rhombus?","Trapezium","Kite","Square","Parallelogram","c","class8-quadrilateral-hierarchy","A square possesses all the properties of a rectangle (all angles 90°) and a rhombus (all sides equal). Therefore, a square is a specific, more constrained type of both rectangle and rhombus."
"Which of the following is NOT a property of every parallelogram?","Opposite sides are equal","Opposite angles are equal","Diagonals are equal","Diagonals bisect each other","c","class8-parallelogram-properties","While opposite sides are equal, opposite angles are equal, and diagonals bisect each other in all parallelograms, having equal diagonals is NOT a general property. It is a specific property of rectangles (and squares)."
"A rhombus always has:","All angles equal to 90°","Diagonals that are equal","Diagonals that are perpendicular bisectors","Only one pair of parallel sides","c","class8-special-parallelograms","A defining property of a rhombus (which is a special parallelogram with all sides equal) is that its diagonals are perpendicular bisectors of each other. They also bisect the interior angles."
"Which quadrilateral has two distinct pairs of adjacent sides that are equal?","Trapezium","Kite","Rectangle","Rhombus","b","class8-trapezium-kite","A kite is defined as a quadrilateral with two pairs of adjacent sides that are equal in length. The sides in each pair are next to each other, not opposite."
"What is the sum of the interior angles of any quadrilateral?","90°","180°","270°","360°","d","class8-quadrilateral-angle-sum","The interior angle sum of any quadrilateral is 360°. This can be proven by dividing the quadrilateral into two triangles, each having an angle sum of 180°."
"In a square, the diagonals:","Are equal but not perpendicular","Are perpendicular but not equal","Are neither equal nor perpendicular","Are equal and perpendicular","d","class8-diagonal-properties","A square has all the properties of a rectangle (diagonals are equal) and a rhombus (diagonals are perpendicular bisectors). Therefore, in a square, the diagonals are both equal in length and perpendicular to each other."
"To construct a quadrilateral when its four sides and one diagonal are given, the first step is usually to draw:","The longest side","The given diagonal","The shortest side","A perpendicular line","b","class8-quadrilateral-construction-1","The standard method is to start by drawing the given diagonal. This diagonal divides the quadrilateral into two triangles. You then construct each triangle using the given side lengths (SSS construction) on either side of the diagonal."
"What is the perimeter of a rectangle with length L and breadth B?","L + B","2(L + B)","L × B","2L × B","b","class8-mensuration-2d","The perimeter is the total distance around the rectangle. Since a rectangle has two sides of length L and two sides of length B, the perimeter P = L + B + L + B = 2(L + B)."
"Which of the following is a polyhedron?","Sphere","Cone","Cylinder","Cube","d","class8-3d-shapes-types","A polyhedron is a solid shape with flat polygonal faces. A cube has 6 square faces. A sphere, cone, and cylinder have curved surfaces and are not polyhedrons."
"The 2D pattern that can be folded to form a 3D shape is called its:","View","Projection","Net","Blueprint","c","class8-nets-3d-shapes","A net is a two-dimensional diagram that shows all the faces of a three-dimensional shape, arranged so that it can be cut out and folded to form the solid."
"Euler's formula for polyhedrons states: F + V - E = ?","0","1","2","3","c","class8-euler-formula","Euler's formula for convex polyhedrons is F + V - E = 2, where F is the number of faces, V is the number of vertices, and E is the number of edges. For a cube: 6 + 8 - 12 = 2."
"Looking directly from above, a cylinder will appear as a:","Rectangle","Square","Circle","Triangle","c","class8-3d-views","The top view (or plan) of a cylinder is the view looking straight down onto its circular base. Therefore, it appears as a circle."
"The total surface area of a cube with side length 'a' is:","a²","4a²","6a²","a³","c","class8-surface-area-formulas","A cube has 6 identical square faces. The area of one face is a². Therefore, the total surface area is 6 times the area of one face: 6a²."
"The volume of a right circular cone is given by:","πr²h","(1/3)πr²h","2πr²h","(4/3)πr³","b","class8-volume-formulas","The volume of a cone is one-third the volume of a cylinder with the same base radius (r) and height (h). Therefore, the formula is V = (1/3)πr²h."
"Which formula would you use to find the amount of paint needed to cover all faces of a cuboidal box?","Volume formula","Perimeter formula","Surface Area formula","Diagonal formula","c","class8-mensuration-games","Paint covers the surface of the object. To find the quantity of paint needed, you calculate the total area of all surfaces, which is the surface area. For a cuboid, SA = 2(lb + bh + hl)."
"For a convex polyhedron, if F=6 and E=12, what must V be according to Euler's formula?","6","7","8","9","c","class8-euler-verification","Euler's formula is F + V - E = 2. Substituting the given values: 6 + V - 12 = 2. This simplifies to V - 6 = 2, so V = 8."
